"date","stock"
1990-03-01,"906182"
1990-03-01,"905479"
1990-03-01,"912909"
1990-03-01,"906839"
1990-03-01,"906196"
1990-03-01,"902242"
1990-03-01,"905024"
1990-03-01,"904803"
1990-03-01,"916790"
1990-03-01,"912455"
1990-03-01,"902245"
1990-03-01,"912060"
1990-03-01,"916125"
1990-03-01,"916407"
1990-03-01,"904282"
1990-03-01,"906148"
1990-03-01,"902198"
1990-03-01,"981550"
1990-03-01,"916944"
1990-03-01,"998326"
1990-03-01,"916091"
1990-03-01,"929814"
1990-03-01,"749321"
1990-03-01,"902288"
1990-03-01,"905140"
1990-03-01,"902289"
1990-03-01,"906018"
1990-03-01,"912568"
1990-03-01,"905997"
1990-03-01,"912273"
1990-03-01,"923709"
1990-03-01,"903705"
1990-03-01,"906899"
1990-03-01,"932188"
1990-03-01,"912188"
1990-03-01,"905966"
1990-03-01,"951020"
1990-03-01,"938424"
1990-03-01,"905214"
1990-03-01,"912646"
1990-03-01,"932136"
1990-03-01,"930531"
1990-03-01,"906189"
1990-03-01,"912595"
1990-03-01,"916704"
1990-03-01,"902351"
1990-03-01,"916382"
1990-03-01,"923731"
1990-03-01,"944314"
1990-03-01,"905047"
1990-03-01,"904830"
1990-03-01,"905114"
1990-03-01,"905706"
1990-03-01,"902227"
1990-03-01,"902199"
1990-03-01,"904383"
1990-03-01,"905139"
1990-03-01,"921600"
1990-03-01,"904408"
1990-03-01,"912901"
1990-03-01,"902175"
1990-03-01,"903749"
1990-03-01,"916418"
1990-03-01,"945421"
1990-03-01,"921268"
1990-03-01,"902324"
1990-03-01,"905115"
1990-03-01,"997471"
1990-03-01,"905190"
1990-03-01,"902306"
1990-03-01,"902190"
1990-03-01,"902317"
1990-03-01,"905039"
1990-03-01,"905082"
1990-03-01,"905016"
1990-03-01,"916901"
1990-03-01,"951849"
